Title,Artist,Difficulty,Book,Page,URL,Body,Chords,Tags
Raspberry Beret,Prince,3,Book 4,62,https://moselele.co.uk/individual_songs/Raspberry_Beret.pdf,"[A] [G] [D][D][G] [D] [G] [A]

I was [A] working part [G] time in a [D][D]five-and-dime,
My [G] boss was Mr. McGee. [D][G][A]
He [A] told me several [G] times that he [D][D]didn't like my kind,
'Cause [G] I was a bit 2 leisurely. [D][G][A]
[A] Seems that I was [G] busy doing [D][D]something close 2 nothing,
But [G] different than the day before [D][G][A]
That's [A] when I [G] saw her, [D][D]ooh, I saw her
She [G] walked in through the out door (out door).

She wore a [A] Raspb[G]erry beret [D][D]
The [G] kind U find in a [D]second [G] hand [A] store
[A]Raspb[G]erry beret [D][D]
And [G] if it was warm she wouldn't [D] wear [G] much [A] more
[A]Raspb[G]erry beret [D][D]
I think I [E] love [A] her

[A] Built like she [G] was, uh, she had the [D][D]nerve 2 ask me
If I [G] planned 2 do her any harm [D][G][A]
So, look here, [A] I put her on the [G] back of my bike and-a [D][D] we went riding
[G] Down by old man Johnson's farm [D][G][A]
I said now, [A] overcast [G] days never [D][D]turned me on
But [G] something about the clouds and her mixed [D][G][A]
[A] She wasn't 2 [G] bright but I [D][D]could tell
When she kissed [G] me, she knew how 2 get her kicks

She wore a [A] Raspb[G]erry beret [D][D]
The [G] kind U find in a [D]second [G] hand [A] store
[A]Raspb[G]erry beret [D][D]
And [G] if it was warm she wouldn't [D] wear [G] much [A] more
[A]Raspb[G]erry beret [D][D]
I think I [E] love [A] her

The [A] rain sounds so [G] cool when it [D][D] hits the barn roof,
And the [G] horses wonder who U are. [D][G][A]
[A] Thunder drowns [G] out what the [D][D] lightning sees
U [G] feel like a movie star [D][G][A]
[A] Listen, they [G] say the first [D][D]time ain't the greatest
But I [G] tell ya, if I had the [D][G][A] chance 2 do it all again
I [A] wouldn't change a [G] stroke 'cause [D][D] baby I'm the most,
With a [G] girl as fine as she was then

She wore a [A] Raspb[G]erry beret [D][D]
The [G] kind U find in a [D]second [G] hand [A] store
[A] Raspb[G]  erry beret [D][D]
And [G] if it was warm she wouldn't [D] wear [G] much [A] more
[A] Raspb[G]erry beret [D][D]
I think I [E] love [A] her

She wore a [A] Raspb[G]erry beret [D][D]
The [G] kind U find in a [D]second [G] hand [A] store
[A] Raspb[G]  erry beret [D][D]
And [G] if it was warm she wouldn't [D] wear [G] much [A] more
[A] Raspb[G]erry beret [D][D]
I think I [E] love [A] her","A, D, E, G",
Since You've Been Gone,Rainbow,4,Book 4,64,https://moselele.co.uk/individual_songs/Since_Youve_Been_Gone.pdf,"[G][D][Em][C]
[G][D][Em][C][D]
[G][D][Em][C]
[G][D][Em][C][D] Ohhhhhhhhhhh....

[G] I get the [D] same old dreams, [Em] same time [D] every night
[C] Fall to the [G] ground and I [A7sus4] wake up [D]
[G] So I get [D] out of bed, [Em] put on my shoes, and [D] in my head
[C] Thoughts fly [G] back to the [A7sus4] breakup [D]

[Eb] [*] These four walls are [F] closing in
[Eb] [*] Look at the fix you've [F] put [Cm7] me [D] in

[G] Since you been [D] gone, [Em] Since you been [C] gone
[G] I'm outta my [D] head, can't [Em] take it [C] [D]
[G] Could I be [D] wrong, [Em] but since you been [C] gone
[G] You cast the [D] spell, so [Em] break it [C] [D]
[G] Oooohhh[D] [Em] Whhooooaaa[C] [G] Ooooohhh[D]
[D]/ [Em]/[C]/ Since you been [D]gone

[G] So in the [D] night I stand [Em] beneath the [D] back street light
[C] I read the [G] words that you [A7sus4] sent to me [D]
[G] I can take the [D] afternoon, the [Em] night-time comes a-[D]-round too soon
[C] You can't [G] know what you [A7sus4] mean to me [D]

[Eb] [*] Your poisoned letter, your [F] telegram
[Eb] [*] Just goes to show you don't [F] give [Cm7] a [D] damn

[G] Since you been [D] gone, [Em] Since you been [C] gone
[G] I'm outta my [D] head, can't [Em] take it [C] [D]
[G] Could I be [D] wrong, [Em] but since you been [C] gone
[G] You cast the [D] spell, so [Em] break it [C] [D]
[G] Oooohhh[D] [Em] Whhooooaaa[C] [G] Ooooohhh[D]
[D]/ [Em]/[C]/ Since you been [D]gone

Solo: [G][D][G][C][G][B7][Em][Em7][C][Am]

[G] If you [D] will come [G] back
[C] Baby you [G] know you'll [B7] never do [Em] wr-[Em7][C][Am]-ong
[D][D][D] [*] Uh! [D][D][*]

[G] Since you been gone, [D][Em] Since you been gone [C]
[G] I'm outta my head, [D] can't [Em] take [C] it [D]
[G] Could I be wrong, [D] [Em] but since you been gone [C]
[G] You cast the spell, [D] so [Em] break [C] it [D]
[G] Oooohhh[D] [Em] Whhooooaaa[Eb]
[G] Oooohhh[D] [Em] Whhooooaaa[Eb]
[G] Ever since [D] you been [G]gone","A7sus4, Am, B7, C, Cm7, D, Eb, Em, Em7, F, G",
Blister in the Sun,Violent Femmes,2,Book 4,30,https://moselele.co.uk/individual_songs/Blister_In_The_Sun.pdf,"Riff x 2
[G][C][G][C][G][C][G] [with riff x 2]

[G]When I’m a [C]walking, [G]I strut my [C]stuff,
[G]then I’m [C]so strung [G]out
I’m [G]high as a [C]kite, [G]I just [C]might,
[G]stop to [C]check you [G]out

Let me go [Em]on, like I [C]blister in the sun
Let me go [Em]on, big [C]hands I know you’re the [D]one [D]

[G]Body and [C]beats, [G]I stain my [C]sheets,
[G]I don’t [C]even know [G]why
[G]My girl[C]friend, [G]she’s at the [C]end,
[G]she is [C]starting to [G]cry

Let me go [Em]on, like I [C]blister in the sun
Let me go [Em]on, big [C]hands I know you’re the [D]one [D]

[G][C][G][C][G][C][G] [with riff x 4]

[Sing quietly:]
[G]When I’m a [C]walking, [G]I strut my [C]stuff,
[G]then I’m [C]so strung [G]out
I’m [G]high as a [C]kite, [G]I just [C]might,
[G]stop to [C]check you [G]out

[G]Body and [C]beats, [G]I stain my [C]sheets,
[G]I don’t [C]even know [G]why
[G]My girl[C]friend, [G]she’s at the [C]end,
[G]she is [C]starting to [G]cry

[Whisper this:]
[G]When I’m a [C]walking, [G]I strut my [C]stuff,
[G]then I’m [C]so strung [G]out
I’m [G]high as a [C]kite, [G]I just [C]might,
[G]stop to [C]check you [G]out

[And now loud:]Let me go [Em]on, like I [C]blister in the sun
Let me go [Em]on, big [C]hands I know you’re the [D]one [D]

[G][C][G][C][G][C][G] [with riff x 2]","C, D, Em, G",
Pinball Wizard,The Who,5,Book 4,66,https://moselele.co.uk/individual_songs/Pinball_Wizard.pdf,"[Bsus4] [B]

Ever [Bsus4] since I was a young boy I've [B]played the silver ball.
From [Asus4] Soho down to Brighton I [A] must have played them all.
But I [Gsus4] ain't seen nothin' like him in [G] any amusement hall.
That [F#] deaf, dumb and blind kid sure plays a mean pin-ball

[B] [B] [A] [D] [E]
[B] [B] [A] [D] [E]

He [Bsus4] stands just like a statue, [B] becomes part of the machine
Feeling [Asus4] all the bumpers, always [A] playing clean
He [Gsus4] plays by intuition, the digit [G] counters fall
That [F#] deaf, dumb and blind kid sure plays a mean pin-ball

[B] [B] [A] [D] [E]
[B] [B] [A] [D] [E]

He's a [E] pin[F#]ball [B]wizard, there [E]has to be a [F#]twist.[B]
A [E]pin[F#]ball [B]wizard's got [G]such a supple [D]wrist[Dsus4]

[D]How do you [C]think he [G]does it?(I don't know)
[D]What makes [C]him so [G]good?

He [Bsus4] ain't got no distractions, can't hear [B] no buzzers and bells
Don't [Asus4] see no lights a-flashin', plays by sense [A] of smell
Always [Gsus4] gets a replay, never seen [G] him fall
That [F#] deaf, dumb and blind kid sure plays a mean pin-ball

[B] [B] [A] [D] [E]
[B] [B] [A] [D] [E]

I [E]thought [F#]I [B]was the [E]Bally [F#]table [B]king
But [E]I [F#]just [B]handed my [G]pinball crown to [D]him

[Dsus4] [D]
[Dsus4] [D]
[Dsus4] [D]
[Dsus4] [D]

Even [Dsus4] on my favorite table,[D]he can beat my best
His [Csus4] disciples lead him in and [C]he just does the rest
He's got [Bbsus4] crazy flipper fingers, [Bb]never seen him fall
That [A] deaf, dumb and blind kid sure plays a mean pinball

[D] [D] [C] [F] [Bb]
[Bbsus4] [Bb] [Bbsus4] [Bb] [Bbsus4] [Bb].....","A, Asus4, B, Bb, Bbsus4, Bsus4, C, Csus4, D, Dsus4, E, F, F#, G, Gsus4",
Delilah,Tom Jones,3,Book 4,38,https://moselele.co.uk/individual_songs/Delilah.pdf,"[Dm] [Dm] [Dm] [Dm]

[Dm] I saw the light on the night that I passed by her [A7] window
[Dm] I saw the flickering shadow of love on her [A7] blind
[D] She [D7] was my [Gm] woman
[Dm] As she deceived me I [A7] watched and went out of my [Dm] mind [C7]

[F] My, my, my, [C] Delilah
[C7] Why, why, why, [F] Delilah
[F] I could [F7] see, that [Bb] girl was no good for [Gm] me
[F] But I was lost like a [C] slave that no man could [F] free [A7]

[Dm] At break of day when that man drove away I was [A7] waiting
[Dm] I crossed the street to her house and she opened the [A7] door
[D] She [D7] stood there [Gm]  laughing
[Dm] I felt the knife in my [A7] [*]  hand and she laughed no [Dm] more [C7]

[F] My, my, my, [C] Delilah
[C7] Why, why, why, [F] Delilah
[F] So [F7] before they [Bb] come to break down the [Gm] door
[F] Forgive me Delilah I [C] just couldn't take any [F] more [A7] [*]

[Dm] / / / / [A7] / /
[Dm] / / / / [A7] / /

[D] She [D7] stood there [Gm] laughing
[Dm] I felt the knife in my [A7] [*] hand and she laughed no [Dm] more [C7]

[F] My, my, my, [C] Delilah
[C7] Why, why, why, [F] Delilah
[F] So [F7] before they [Bb] come to break down the [Gm] door
[F] Forgive me Delilah I [C] just couldn't take any [F] more
[Dm] Forgive me Delilah I [A7] just couldn't take any [Dm] more [G7] [Dm] [G7] [Dm]
[A7]-[Dm]","A7, Bb, C, C7, D, D7, Dm, F, F7, G7, Gm",
Shout,Tears For Fears,1,Book 5,4,https://moselele.co.uk/individual_songs/Shout.pdf,"[Gm] Shout, shout, let it all out, [Bb] these are the things I can do without
Come [C] on, I'm talking to you, come [Gm]on
[Gm] Shout, shout, let it all out, [Bb] these are the things I can do without
Come [C] on, I'm talking to you, come [Gm] on

In [Bb] violent times, you shouldn't have to [C] sell your soul
In [Bb] black and white, they really really [C] ought to know
[Bb] Those one track minds that took you for a [C] working boy
Kiss [Bb] them goodbye, you shouldn't have to [C] jump for joy
[C] You shouldn't have to [Gm] shout for joy

[Gm] Shout, shout, let it all out, [Bb]these are the things I can do without
Come [C] on, I'm talking to you, come [Gm]on

[Bb] They gave you life, and in return you [C] gave them hell
As [Bb] cold as ice, I hope we live to [C] tell the tale
I[C]hope we live to [Gm] tell the tale

[Gm] Shout, shout, let it all out, [Bb]these are the things I can do without
Come [C] on, I'm talking to you, come [Gm]on
[Gm] Shout, shout, let it all out, [Bb]these are the things I can do without
Come [C] on, I'm talking to you, come [Gm]on

[Bb]                    And when you've taken [C] down your guard
If I [Bb] could change your mind,
I'd really love to [C] break your heart
I'd really love to [Gm] break your heart

[Gm] Shout, shout, let it all out, [Bb]these are the things I can do without (I'd really love to
break your heart)
Come [C] on, I'm talking to you, come [Gm]on
[Gm] Shout, shout, let it all out, [Bb]these are the things I can do without
Come [C] on, I'm talking to you, come [Gm]on

[Gm] Shout, shout, let it all out (They really really ought to know)
[Bb] These are the things I can do without  (Really really ought to know)
Come [C] on, I'm talking to you, come [Gm]on (They really really)
[Gm]  Shout, shout, let it all out (They really really ought to know)
[Bb] These are the things I can do without (I'd really love to break your heart)
Come [C] on, I'm talking to you, come [Gm]on (I'd really love to break your heart)
[Gm] Shout, shout, let it all out, [Bb]these are the things I can do without
Come [C] on, I'm talking to you, come [Gm]on","Bb, C, Gm",
O Mary Don't You Weep,Bruce Springsteen,1,Book 5,6,https://moselele.co.uk/individual_songs/O_Mary_Dont_You_Weep.pdf,"[Am] Well if I could I [E7] surely would
Stand on the rock where [Am] Moses stood
[Dm] Pharaoh's army got [Am] drownded
[E7] O Mary don't you [Am] weep

[Am] O Mary don't you [E7] weep, don't mourn
O Mary don't you [Am] weep, don't mourn
[Dm] Pharaoh's army got [Am] drownded
[E7] O Mary don't you [Am] weep

[Am] Well Mary wore three [E7] links and chains
On every link was [Am] Jesus' name
[Dm] Pharaoh's army got [Am] drownded
[E7] O Mary don't you [Am] weep

[Am] O Mary don't you [E7]weep, don't mourn
O Mary don't you [Am] weep, don't mourn
[Dm] Pharaoh's army got [Am] drownded
[E7] O Mary don't [Am] weep

[Am] Well one of these nights[E7]bout 12 o'clock
This old world is [Am] gonna rock
[Dm] Pharaoh's army got [Am] drownded
[E7] O Mary don't you [Am] weep

[Am] Well Moses stood on the [E7] Red Sea shore
Smote' the water with a [Am] two by four
[Dm] Pharaoh's army got [Am] drownded
[E7] O Mary don't you [Am] weep

[Am] O Mary don't you [E7]weep, don't mourn
O Mary don't you [Am] weep, don't mourn
[Dm] Pharaoh's army got [Am] drownded
[E7] O Mary don't [Am] weep

[Am] Well old Mr. Satan [E7] he got mad
Missed that soul that he [Am] thought he had
[Dm] Pharaoh's army got [Am] drownded
[E7] O Mary don't you [Am] weep

[Am] Brothers and sisters [E7] don't you cry
There'll be good times [Am] by and by
[Dm] Pharaoh's army got [Am] drownded
[E7] O Mary don't [Am] weep

[Am] Well O Mary don't you [E7]weep, don't mourn
O Mary don't you [Am] weep, don't mourn
[Dm] Pharaoh's army got [Am] drownded
[E7] O Mary don't [Am] weep

[Am*] God gave Noah the [E7*] rainbow sign
""No more water but fire [Am*] next time""
[Dm*] Pharaoh's army got [Am*] drownded
[E7*] O Mary don't you [Am*] weep

[Am*] O Mary don't you [E7*]weep, don't mourn
O Mary don't you [Am*] weep, don't mourn
[Dm*] Pharaoh's army got [Am*] drownded
[E7*] O Mary don't [Am*] weep

[Am] O Mary don't you [E7]weep, don't mourn
O Mary don't you [Am] weep, don't mourn
[Dm] Pharaoh's army got [Am] drownded
[E7] O Mary don't [Am] weep","Am, Dm, E7",
Float On,Modest Mouse,3,Book 5,60,https://moselele.co.uk/individual_songs/Float_On.pdf,"
Riff
A ----2-5-2-0-2-2-2-2--2-5-2-0-2-2-2-2--2-5-2-0-2-2-2-2--2-2-2-2-2-0------
E --3---------------------2---------------------0--------------------------------------3-3-
C --------------------------------------------------------------------------------------------
G --------------------------------------------------------------------------------------------

[G][Bm][Em][Bm]
Riff [G][Bm][Em][Bm]

[G]I backed my car into a [Bm]cop car, the other day [Em]
Well [Bm]he just drove off, sometimes life's o[G]k.
I ran my mouth off a bit [Bm]too much, oh what did I say[Em]
Well [Bm]you just laughed it off, it was all o[G]k.

Riff
[G] [Bm] [Em] [Bm]

[G]And we'll [Bm]all float on, [Em]ok.
And we'll [Bm]all float on, [G]ok.
And we'll all [Bm] float on, [Em]ok.
And we'll [Bm] all float on any way, well.

[G]A fake Jamaican took [Bm] every last dime with a scam[Em]
It was [Bm]worth it just to learn some sleight-of-[G] hand.
[G]Bad news comes don't you worry [Bm]even when it lands[Em]
Good [Bm]news will work its way to all them [G]plans.
We both got fired on ex[Bm]actly the same day[Em]
Well [Bm]we'll float on good news is on the [G]way.

Riff
[G] [Bm][Em][Bm]

[G]And we'll [Bm]all float on, [Em]ok.
And we'll [Bm]all float on, [G]ok.
And we'll all [Bm] float on, [Em]ok.
And we'll [Bm]all float on, [G]alright.
Already we'll [Bm]all float on.
No, [Em]don't you worry, we'll [Bm]all float on.
Al[G]right, already, we'll [Bm]all float on.
Al[Em]right, don't worry, we'll [Bm]all float on.

[G*][Bm*][Em*][Bm]

Al[G]right already we'll [Bm]all float on.
Al[Em]right already we'll [Bm]all float on.
Al[G]right don't worry even [Bm]if things end up
a [Em]bit too heavy. We'll [Bm] all float on...
Al[G]right. Already we'll [Bm] all float on.
Al[Em]right already we'll [Bm]all float on.
O[G]k Don't worry we'll [Bm] all float on.
Even [Em]if things get heavy, we'll [Bm]all float on.

[Tacet] Alright already we'll all float on.
(Alright)
Don't you worry we'll all float on.
(Alright)
All float on....","Bm, Em, G, Tacet",
Royals,Lorde,1,Book 5,8,https://moselele.co.uk/individual_songs/Royals.pdf,"I've never seen a [D*] diamond in the flesh
I cut my [C/D*] teeth on wedding rings in the [G*] movies
And I'm not [D*] proud of my address -
in the torn up [C/D*] town No postcode [G*] envy

But every song's like: [D] gold teeth, grey goose, trippin' in the bathroom
Blood stains, ballgowns, trashin' the hotel room
[C/D] We don't care - we're driving [G] Cadillacs in our dreams
But everybody's like: [D] Cristal, Mayback, diamonds on your timepiece
Jet planes, islands, tigers on a gold leash
[C/D] We don't care - we aren't [G][*] caught up in your love affair

And we'll never be [D] royals (royals) - It don't run in our blood
That kind of [C/D] lux just ain't for us
We crave a [G] different kind of buzz
Let me be your [D] ruler (ruler) - you can call me Queen Bee
And baby I'll [C/D] rule (I'll rule, I'll rule, I'll rule)
[G][*] Let me live that fantasy

[D]

My friends and [D] I we've cracked the code
We count our [C/D] dollars on the train to the [G] party
And every [D] one who knows us knows
that we're fine with [C/D] this, we didn't come from [G] money

But every song's like: [D] gold teeth, grey goose, trippin' in the bathroom
Blood stains, ballgowns, trashin' the hotel room
[C/D] We don't care - we're driving [G] Cadillacs in our dreams
But everybody's like: [D] Cristal, Mayback, diamonds on your timepiece
Jet planes, islands, tigers on a gold leash
[C/D] We don't care - we aren't [G][*] caught up in your love affair

And we'll never be [D] royals (royals) - It don't run in our blood
That kind of [C/D] lux just ain't for us
We crave a [G] different kind of buzz
Let me be your [D] ruler (ruler) - you can call me Queen Bee
And baby I'll [C/D] rule (I'll rule, I'll rule, I'll rule)
[G][*] Let me live that fantasy

[Muted / spoken]
[D] Oh ooh, oh ohh (Oh ohh)
[C/D] We're bigger than we ever dreamed
[G] And I'm in love with being queen
[D] Oh ooh, oh ohh (Oh ohh)
[C/D] Life's a game without a care
We aren't [G][*] caught up in your love affair

And we'll never be [D] royals (royals) - It don't run in our blood
That kind of [C/D] lux just ain't for us
We crave a [G] different kind of buzz
Let me be your [D] ruler (ruler) - you can call me Queen Bee
And baby I'll [C/D] rule (I'll rule, I'll rule, I'll rule)
[G][*] Let me live that fantasy","C, D, G, Muted",
Friday I'm In Love,The Cure,2,Book 5,24,https://moselele.co.uk/individual_songs/Friday_Im_In_Love.pdf,"[D] [G] [D] [A] [Bm] [G] [D] [A]
[D] [G] [D] [A] [Bm] [G] [D] [A]

[D] I don't care if [G] Monday's blue
[D] Tuesday's grey and [A] Wednesday too
[Bm] Thursday I don't [G] care about you
It's [D] Friday, I'm in [A] love

[D] Monday you can [G] fall apart
[D] Tuesday, Wednesday [A] break my heart
Oh, [Bm] Thursday doesn't [G] even start
It's [D] Friday I'm in [A] love

[G] Saturday, [A] wait
And [Bm] Sunday always [G] comes too late
But [D] Friday, never [A] hesitates...

[D] I don't care if [G] Monday’s black
[D] Tuesday, Wednesday [A] heart attack
[Bm] Thursday, never [G] looking back
It's [D] Friday, I'm in [A] love

[D] [G] [D] [A] [Bm] [G] [D] [A]

[D] Monday, you can [G] hold your head
[D] Tuesday, Wednesday [A] stay in bed
Or [Bm] Thursday watch the [G] walls instead
It's [D] Friday, I'm in [A]  love

[G] Saturday, [A] wait
And [Bm] Sunday always [G] comes too late
But [D] Friday, never [A] hesitates...

[Bm] Dressed up to the [C] eyes
It's a wonderful [D] surprise
To see your [A] shoes and your spirits [Bm] rise
Throwing out your [C] frown
And just smiling at the sound [D]
And as sleek as a [A] sheik
Spinning round and [Bm] round
Always take a big [C] bite
It's such a gorgeous [D] sight
To see you [A] eat in the middle of the [Bm] night
You can never get [C] enough
Enough of this [D] stuff
It's Friday, [A] I'm in love

[D] I don't care if [G] Monday's blue
[D] Tuesday's grey and [A] Wednesday too
[Bm] Thursday I don't [G] care about you
It's [D] Friday, I'm in [A] love

[D] Monday you can [G] fall apart
[D] Tuesday, Wednesday [A] break my heart
Oh, [Bm] Thursday doesn't [G] even start
It's [D] Friday I'm in [A] love
[D] [G] [D] [A] [Bm] [G] [D] [A]
[D] Ohhhh [G] Doo doo doo [D] doooo [A] Doo doo doo
[Bm] dooooo [G] Ahhhh [D] Ooo doo di doo [A] dooooo","A, Bm, C, D, G",
Geno,Dexy's Midnight Runners,3,Book 5,42,https://moselele.co.uk/individual_songs/Geno.pdf,"Geno! Geno! Geno! Geno! Geno! (with horns or kazoos)
[C#] [B]  [C#] [B]
[C#] [B]  [C#] [B]

[C#] Back in '6-[B]-8 in a sweee-aty club [C#]  (Oh, [B] Geno)
Before [C#] Jimmy's Machine and The [B] Rocksteady Rub [C#] (Ohhhhh [B] Geno)
On a [B] night when flowers didn't [F#m] suit my shoes
After a [B] week of flunkin' and [F#m] bunkin' school
The [B] lowest head in the [F#m] crowd that night
Just [B] polishing steps and keepin' [F#m] outta the fights

[A] Academic [E] inspiration, [B] you gave me [F#] none
[A] You were [E] Michael, the lover, [B] the fighter that [F#] won
[A] But now just [E] look at me, as I'm [B] looking down at [F#] you
[A] No, I'm not [E] being flash. It's what, [B] I'm built to [F#] do

[C#]
[C#] [B]
[C#] [B]

[C#] That man took the [B] stage, his tow-el swingin' [C#] high, (Oh [B] Geno)
[C#] This man was my [B] bombers, my Dexy's, my [C#] high (Ohhhhh [B] Geno)
The [B] crowd they all hailed you, and [F#m] chanted your name
But they never [B] knew, like we knew. Me and [F#m] you we're the same
And [B] now you're all over, your [F#m] song is so tame, Brrrrrrr
[B] You fed me, you bred me, I'll [F#m] remember your name

[A] Academic [E] inspiration, [B] you gave me [F#] none
[A] You were [E] Michael, the lover, [B] the fighter that [F#] won
[A] But now just [E] look at me, I'm [B] looking down at [F#] you
[A] No, I'm not [E] being flash. It's what, [B] I'm built to [F#] do

[A] [B] [F#] [E]
[A] [B] [F#] [E]
[A] [B] [C#]
[C#] Oh [B] Geno, [C#] Woh oh oh [B] Geno
[C#] Oh [B] Geno, [C#] Woh oh oh [B] Geno
[C#]","A, B, C#, E, F#, F#m",
Like a Virgin,Madonna,1,Book 5,18,https://moselele.co.uk/individual_songs/Like_A_Virgin.pdf,"[C] [C] [C] [C]

I made it [C] through the wilderness
Somehow I [C] made it through
[Dm] Didn't know how lost I was until [C] I found you
I was [C] beat... incomplete.
I'd been [C] had, I was sad and blue
But you [Dm] made me feel [Am]
Yeah, you [Dm] maaade me [Am] feel
Shiny and [G] new

[C6] Like a virgin , Touched for the [C6] very first time
Like a [Dm] virgin , When your [C6] heart beats
[C6] Next to mine

Gonna give you [C] all my love, boy
My fear is [C] fading fast
[Dm] Been saving it all for you
'Cause only [C] love can last

You're so [C] fine and you're mine
Make me [C] strong, yeah you make me bold
Oh your [Dm] love thawed out [Am]
Yeah, your [Dm] love thaaaaaaawed [Am] out
What was scared and [G] cold

[C] Like a virgin , Touched for the [C] very first time
Like a [Dm] virgin , When your [C] heart beats
[C] Next to miiii- [Am] -iine

[D] Woah oah [Am] ohh
[D] Woah oah [Am] ohh
[D] Woah oah [Am] oh.
[D*][D*]

You're so [C] fine and you're mine
I'll be [C] yours 'til the end of time
'Cause you [Dm] made me feel [Am]
Yeah, you [Dm] made me [Am] feel
I've nothing to [G] hide

[C6] Like a virgin , Touched for the [C6] very first time
Like a [Dm] virgin , When your [C6] heart beats
[C6] Next to mine

Like a [C] virgin
Ooh hooo, like a [C] virgin
Feels so good in- [Dm] -side
When you [Dm] hold me
And your [C] heart beats
And you [C] love me

[C] [C] [C] [C] Oh, oh
[C] Oh [C] [C] [C]
[Dm] [Dm] [Dm] [Dm]
[C] [C] [C] [C]","Am, C, C6, D, Dm, G",
The Model,Kraftwerk,1,Book 5,13,https://moselele.co.uk/individual_songs/The_Model.pdf,"Intro:  [Am]  [Em] *4

[Am] She's a model and she's [Em] looking good
[Am]                         [Em]
I'd [Am] like to take her home that's [Em] understood
[Am]                         [Em]
She [Am] plays hard to get, she smiles from [Em] time to time
[Am]                         [Em]
It [Am] only takes a camera to  change [Em] her mind
[Am]                         [Em]

[C]  [Bm]  [G][G]
[C]  [Bm]  [E][E7]

She's  [Am] going out tonight loves drinking [Em] just champagne
[Am]                         [Em]
And [Am] she has been checking nearly [Em] all the men
[Am]                         [Em]
She's [Am] playing her game and you can [Em] hear them say
[Am]                         [Em]
[Am] She is looking good, for beauty [Em] we will pay
[Am]                         [Em]

[C]  [Bm]  [G] [G]
[C]  [Bm]  [E][E7]
[Am]                         [Em]
[Am]                         [Em]
[Am]                         [Em]
[Am]                         [Em]
She's [Am] posing for consumer products [Em]  now and then
[Am]                         [Em]
For [Am] every camera she gives the [Em] best she can
[Am]                         [Em]
I [Am] saw her on the cover of a [Em]  magazine
[Am]                         [Em]
Now [Am] she's a big success, I want to [Em]  meet her again

[Am]                         [Em]
[Am]","Am, Bm, C, E, E7, Em, G",
She Sells Sanctuary,The Cult,1,Book 5,14,https://moselele.co.uk/individual_songs/She_Sells_Sanctuary.pdf,"Intro tab ( no chords)

[D]  [Dsus4][D][Dsus2][D] [C]  [G] x2
Oh the [D] heads that turn
[C] Make my back burn [G]
And those [D] heads that turn
[C] Make my back - make my [G] back burn

[D]        [C]  [G] x2

The [D] sparkle in your eyes
[C] Keeps me alive [G]
And the [D] sparkle in your eyes
[C] Keeps me alive, keeps [G] me alive

And the [D] world
And the [C] world turns around [G]
The [D] world and the world yeah-eah
The [C] world drags me down [G]

[D]  [Dsus4][D][Dsus2][D] [C]  [G] x2

Oh the [D] heads that turn
[C] Make my back burn [G]
And those [D] heads that turn
[C] Make my back - make my [G] back burn, yeah-eah

[D]            [C] yeah, yeah  [G] yeah-eah
[D]            [C] yeah, yeah  [G] yeah-eah

The [D] fire in your eyes
[C] Keeps me alive [G]
And the [D] fire in your eyes
[C] Keeps me alive [G]

I'm [D] sure in her you'll find
[C] the sanctuary [G]
I'm [D] sure in her you'll find
[C] the sanctuary [G]

And the [D] world
the [C] world turns around [G]
And the [D] world and the world
The [C] world drags me down [G]

And the [D] world and the world and the world
the [C] world turns around [G]
And the [D] world and the world and the world and the world
The [C] world drags me down [G]

[D*]        [C*]  [G*] x2

[D] Yeah, yeah, yeah, yeah,
[C] Yeah, yeah, yeah, yeah, [G]
And the [D] world, Yeah, yeah, yeah, yeah,
And the [C] world turns around [G]
And the [D] world and the world
Yeah the [C] world drags me down [G]

And the [D] world, Yeah, yeah, yeah, yeah,
Yeah the [C]  world turns around [G]
And the [D] world and the world
The [C] world drags me down  [G]

[D]  yeah, yeah [Dsus4] yeah [D]-eh [Dsus2]-eh [D]-eh [C] yeah, yeah, [G] yeah, yeah-eah
[D] sanctuary  [Dsus4][D][Dsus2][D] [C] sanctuary  [G]
[D*]","C, D, Dsus2, Dsus4, G",
